num_features,num_subset_solvers,subset_size,subset_solver_depth,rounded,train_diff_pc,train_diff_ps,train_res_pc,train_res_cc,train_res_sc,train_epsilon,valid_diff_pc,valid_diff_ps,valid_res_pc,valid_res_cc,valid_res_sc,valid_epsilon,model_size_mb
96,2,5,2,False,0.0013909999999999999,0.0026804000000000003,0.0109638,1.81e-05,0.046701000000000006,0.004048999999999999,0.0014708999999999998,0.0026952,0.0117394,1.8200000000000002e-05,0.0474603,0.004104999999999999,0.12
96,2,5,3,False,0.0013503,0.0027241999999999995,0.010735899999999998,1.81e-05,0.0467032,0.004049099999999998,0.0014283,0.0027780999999999995,0.0116122,1.81e-05,0.047464,0.004104999999999999,0.14
96,2,5,4,False,0.0013241000000000001,0.0027571,0.0106668,1.8e-05,0.0467005,0.0040491999999999985,0.0013967,0.0027923999999999996,0.0113732,1.8200000000000002e-05,0.047435899999999996,0.004104999999999999,0.16
96,2,6,1,False,0.0015624,0.0025107000000000003,0.0112085,1.81e-05,0.0467019,0.004048999999999999,0.0016369000000000002,0.0025694000000000003,0.0118551,1.8e-05,0.0474465,0.004104999999999999,0.12
96,2,6,2,False,0.0014165,0.0026605,0.0108672,1.81e-05,0.046697,0.004048999999999999,0.0014868,0.0027354,0.0116095,1.8e-05,0.0474353,0.004104999999999999,0.14
96,2,6,3,False,0.0013338,0.0027451000000000003,0.010670700000000002,1.8e-05,0.0467044,0.004048999999999999,0.0014088999999999998,0.0027938,0.011372000000000002,1.81e-05,0.0474339,0.004104999999999999,0.16
96,2,6,4,False,0.0013127,0.0027675,0.0105932,1.8e-05,0.0466928,0.004048999999999999,0.0013851,0.0028232000000000005,0.0113932,1.8200000000000002e-05,0.0474601,0.004104999999999999,0.17
96,3,2,1,False,0.0014339,0.0026137,0.011113300000000001,1.8e-05,0.046696800000000004,0.004048999999999999,0.0015689999999999999,0.0022776999999999997,0.0122197,1.8e-05,0.0474343,0.004104999999999999,0.07
96,3,2,2,False,0.0014179,0.002644,0.0109211,1.8e-05,0.0467004,0.004048999999999999,0.00155,0.0022294000000000003,0.0118816,1.81e-05,0.0474347,0.004104999999999999,0.09
96,3,2,3,False,0.0013285,0.0027411000000000002,0.010697100000000001,1.81e-05,0.0467037,0.004048999999999999,0.0014651,0.0023128999999999997,0.011658499999999999,1.8e-05,0.0474595,0.004104999999999999,0.12
96,3,2,4,False,0.001303,0.0027710000000000005,0.010660600000000001,1.8e-05,0.0466941,0.004048999999999999,0.001439,0.0023823,0.0116702,1.8e-05,0.0474374,0.004104999999999999,0.15
96,3,3,1,False,0.0014005,0.0026604,0.010864799999999999,1.8300000000000004e-05,0.0467001,0.004048999999999999,0.0016434000000000002,0.0023845999999999997,0.0120463,1.8200000000000002e-05,0.0474511,0.004104999999999999,0.09
96,3,3,2,False,0.0013103,0.0027621,0.010314,1.8e-05,0.046698,0.004049099999999999,0.001474,0.0023787999999999995,0.0116334,1.8e-05,0.0474652,0.004104999999999999,0.12
96,3,3,3,False,0.0012954999999999998,0.0027818,0.010396700000000002,1.8e-05,0.0467013,0.004048999999999999,0.0014372,0.0024975,0.011480500000000001,1.81e-05,0.0474662,0.004104999999999999,0.15
96,3,3,4,False,0.0012546000000000002,0.0028242999999999996,0.0101992,1.81e-05,0.0466974,0.004048999999999999,0.0014447,0.0023763,0.0115791,1.86e-05,0.047479099999999996,0.004104999999999999,0.17
96,3,4,1,False,0.0013917,0.0026747999999999997,0.0106564,1.8e-05,0.0467049,0.0040491999999999985,0.0016315,0.0025973999999999997,0.011794500000000001,1.81e-05,0.0474286,0.004104999999999999,0.12
96,3,4,2,False,0.0013199,0.0027562,0.0104528,1.8e-05,0.046698699999999996,0.004048999999999999,0.0014658000000000002,0.0025177,0.0116576,1.8200000000000002e-05,0.0474418,0.004104999999999999,0.15
96,3,4,3,False,0.0012563,0.0028234999999999996,0.0101854,1.8200000000000002e-05,0.0467021,0.004048999999999999,0.0014171000000000001,0.0025808,0.0114373,1.8300000000000004e-05,0.0474531,0.004104999999999999,0.17
96,3,4,4,False,0.0012309000000000003,0.0028507999999999997,0.0101051,1.8300000000000004e-05,0.0467056,0.004048999999999999,0.0013913999999999999,0.0025662999999999997,0.011380199999999998,1.81e-05,0.0474662,0.004104999999999999,0.2
96,3,5,1,False,0.0014086,0.0026655999999999997,0.0107885,1.8200000000000002e-05,0.04671299999999999,0.004049099999999999,0.0015704999999999996,0.0026337,0.011746200000000002,1.8200000000000002e-05,0.0474546,0.004104999999999999,0.15
96,3,5,2,False,0.0013024,0.002775,0.0103809,1.81e-05,0.0467028,0.004048999999999999,0.001414,0.0026287,0.0114689,1.8e-05,0.047468899999999994,0.004104999999999999,0.17
96,3,5,3,False,0.0012662,0.0028149,0.010234700000000001,1.8200000000000002e-05,0.046698300000000005,0.004048999999999999,0.0014380999999999999,0.0025765,0.0113474,1.8e-05,0.0474261,0.004104999999999999,0.2
96,3,5,4,False,0.0012085,0.0028734,0.0099781,1.81e-05,0.0467009,0.004048999999999999,0.0013661000000000003,0.0026204,0.0112972,1.8e-05,0.0474673,0.004104999999999999,0.23
96,3,6,1,False,0.0013627000000000001,0.0027137999999999997,0.010510799999999999,1.8e-05,0.04670040000000001,0.004048999999999999,0.0015845000000000002,0.0027266999999999994,0.01136,1.8e-05,0.0474543,0.004104999999999999,0.17
96,3,6,2,False,0.0012708999999999997,0.0028063999999999997,0.0102908,1.81e-05,0.0467005,0.004049099999999999,0.0014190000000000001,0.0026795,0.011571800000000002,1.81e-05,0.047433,0.004104999999999999,0.2
96,3,6,3,False,0.0014589999999999998,0.0026248000000000005,0.010680899999999998,1.81e-05,0.046703,0.004048999999999999,0.0016326000000000001,0.0024494,0.011862999999999999,1.8e-05,0.0474369,0.004104999999999999,0.23
96,3,6,4,False,0.0012111,0.0028726999999999997,0.0099681,1.8e-05,0.0467042,0.004049099999999998,0.0013513,0.0026817,0.011143000000000002,1.8200000000000002e-05,0.0474367,0.004104999999999999,0.26
128,1,2,1,False,0.0018803999999999997,0.0021767,0.012844600000000001,1.81e-05,0.046694,0.004048999999999999,0.0019297,0.0022131,0.0133854,1.8e-05,0.0474498,0.004104999999999999,0.05
128,1,2,2,False,0.0017200000000000004,0.0023455000000000004,0.0124515,1.8e-05,0.0467014,0.004048999999999999,0.0017738,0.0023991,0.013052900000000001,1.8e-05,0.047422000000000006,0.004104999999999999,0.07
128,1,2,3,False,0.0017081,0.0023656,0.012326300000000002,1.8e-05,0.0467025,0.004048999999999999,0.0017524,0.0024142000000000005,0.012870200000000002,1.8e-05,0.0474472,0.004104999999999999,0.08
128,1,2,4,False,0.0017034,0.0023749,0.0124125,1.81e-05,0.046706899999999996,0.004049099999999998,0.0017578999999999997,0.0024382999999999996,0.0131249,1.81e-05,0.047445100000000004,0.004104999999999999,0.1
128,1,3,1,False,0.0018937000000000003,0.0021678,0.0128553,1.8200000000000002e-05,0.0467128,0.004049099999999998,0.0019514,0.002214,0.0134826,1.81e-05,0.047438,0.004104999999999999,0.07
128,1,3,2,False,0.0017789,0.0022937,0.012491,1.81e-05,0.0466913,0.004048999999999999,0.0018318000000000002,0.0023490000000000004,0.013052499999999998,1.81e-05,0.047417100000000004,0.004104999999999999,0.08
128,1,3,3,False,0.0017245,0.0023539,0.0123856,1.81e-05,0.0467026,0.004048999999999999,0.0017792000000000003,0.0024238999999999997,0.0129134,1.8200000000000002e-05,0.0474112,0.004104999999999999,0.1
128,1,3,4,False,0.0017986999999999999,0.0022883,0.012593499999999999,1.8200000000000002e-05,0.046701799999999995,0.004049099999999998,0.0018537000000000002,0.0023501,0.013273499999999999,1.8300000000000004e-05,0.047454,0.004104999999999999,0.12
128,1,4,1,False,0.0018168,0.0022406999999999995,0.012735199999999999,1.81e-05,0.046707900000000004,0.004049099999999998,0.0018698000000000002,0.0023036999999999997,0.013242399999999998,1.8e-05,0.047465099999999996,0.004104999999999999,0.08
128,1,4,2,False,0.0017087,0.0023648,0.012372000000000001,1.8300000000000004e-05,0.0466973,0.004048999999999999,0.0017739000000000001,0.0024432,0.01297,1.81e-05,0.0474365,0.004104999999999999,0.1
128,1,4,3,False,0.0017082,0.0023699999999999997,0.0122688,1.8200000000000002e-05,0.0467012,0.004048999999999999,0.0017665999999999997,0.0024442,0.0128418,1.8e-05,0.0474434,0.004104999999999999,0.12
128,1,4,4,False,0.0017112,0.0023731,0.012410599999999999,1.8e-05,0.046694900000000004,0.004048999999999999,0.0017678,0.002441,0.0130118,1.8200000000000002e-05,0.047462899999999995,0.004104999999999999,0.13
128,1,5,1,False,0.0018463999999999998,0.0022206000000000005,0.0127687,1.8e-05,0.0467061,0.004048999999999999,0.0018974999999999999,0.0022634,0.013298899999999999,1.8e-05,0.04745050000000001,0.004104999999999999,0.1
128,1,5,2,False,0.0017815000000000005,0.0022932,0.012700300000000001,1.8e-05,0.0466987,0.004048999999999999,0.0018414,0.0023641999999999995,0.013303700000000002,1.81e-05,0.0474337,0.004104999999999999,0.12
128,1,5,3,False,0.0017399999999999998,0.0023418000000000002,0.012478699999999999,1.81e-05,0.046696100000000004,0.004048999999999999,0.0017951999999999998,0.0024194,0.0130051,1.8e-05,0.0474234,0.004104999999999999,0.13
