max_diff,l1_error,l1_norm
0.05502651,0.009741623,0.034479074
0.034131482,0.009074112,0.016396703
0.0518607,0.009287391,0.008678348
0.0358214,0.010192157,0.033350516
0.035890725,0.0077057104,0.025334127
0.04616787,0.010079615,0.020543274
0.03526247,0.006982428,0.027643846
0.024562055,0.006170485,0.03826154
0.03073228,0.008017484,0.04209861
0.055090584,0.007656952,0.032188747
0.052293807,0.009844799,0.026307166
0.051569924,0.007599942,0.014936967
0.047155257,0.012482613,0.03796506
0.048516747,0.008280356,0.04236675
0.039363228,0.008010262,0.032726754
0.03227678,0.010181091,0.020133628
0.03776649,0.008410594,0.028460242
0.053711805,0.009240947,0.018951455
0.030163387,0.006556872,0.030003585
0.022781797,0.00714398,0.026883682
0.06589207,0.008681408,0.022356268
0.055067185,0.008564777,0.022002079
0.034020055,0.006119621,0.0375719
0.036603138,0.007422575,0.014454501
0.029280111,0.007499057,0.024943389
0.037557576,0.007455187,0.019731294
0.048391517,0.010247462,0.032859594
0.042740583,0.010470373,0.03128949
0.03604418,0.006436622,0.025507871
0.052000135,0.008810894,0.013542103
0.03318163,0.007013849,0.016882721
0.021481507,0.0054781595,0.035486307
0.05235254,0.01271057,0.02305642
0.02803557,0.008346395,0.011347764
0.032181792,0.008544985,0.030950269
0.030960513,0.0076371077,0.027186945
0.043466214,0.010399811,0.02074828
0.06493124,0.011161168,0.019816961
0.022687096,0.0077792457,0.025220724
0.024364125,0.0074387584,0.014944744
0.049552746,0.008197013,0.021379793
0.03359127,0.006692384,0.030675828
0.043546334,0.009181783,0.051845893
0.03633914,0.009236808,0.041312527
0.015678272,0.005644992,0.040080503
0.03516399,0.008582504,0.059812553
0.020663902,0.0069654994,0.020747228
0.024991225,0.005986467,0.021428121
0.06585703,0.009691592,0.03873452
0.027341004,0.007524228,0.021249935
0.07832089,0.012960575,0.012954692
0.035399538,0.009486375,0.015727475
0.02561553,0.0062857275,0.03242313
0.07869136,0.010323316,0.03500916
0.031815514,0.0068848226,0.024114547
0.07341939,0.01042719,0.024165904
0.0401581,0.0072006886,0.018102298
0.044827595,0.009141318,0.026254829
0.037062623,0.0056761405,0.013746456
0.03220032,0.0070218975,0.033342462
0.027156165,0.007753244,0.029065121
0.02893946,0.0073254574,0.027273314
0.040238965,0.010338089,0.046608917
0.022576924,0.00668639,0.018623045
0.035911,0.0074489154,0.036555205
0.023383383,0.006258697,0.03567133
0.04029685,0.0073445,0.016774645
0.06365116,0.0082434695,0.026914755
0.04460943,0.008491018,0.018243091
0.026053727,0.007631137,0.032802794
0.02798054,0.0063117235,0.016489238
0.041328724,0.00791836,0.016495563
0.041365378,0.0069081336,0.038487706
0.032837883,0.008197155,0.02597333
0.032646522,0.0070169056,0.03262271
0.018297419,0.0059087393,0.03036985
0.08008316,0.009117508,0.0141983265
0.0378452,0.009019863,0.04729909
0.041454695,0.008412213,0.022437414
0.046012938,0.008900629,0.018963728
0.030075464,0.0069718827,0.010808723
0.061176464,0.011680128,0.04678351
0.03923307,0.009266996,0.019260718
0.030112837,0.006067916,0.03783419
0.06239129,0.010845186,0.035278853
0.034367643,0.0078160595,0.026847541
0.036751963,0.011186419,0.03183422
0.07274289,0.00817894,0.030487586
0.01894107,0.005111442,0.018027827
0.023860563,0.0067517343,0.02791634
0.05875391,0.008805923,0.015645295
0.016814541,0.00545974,0.014958976
0.04606447,0.011092473,0.04265096
0.023980366,0.008478196,0.035023317
0.015416309,0.004416984,0.030385025
0.051003624,0.010462652,0.01795748
0.037281714,0.007858836,0.02359668
0.033849403,0.0060892324,0.010243099
0.017616272,0.005734258,0.03858548
0.034126952,0.00590469,0.012855082
0.08278391,0.012857086,0.043499112
0.019404223,0.005260102,0.018345889
0.042150848,0.008663498,0.019232906
0.07356763,0.011882256,0.040250257
0.051820304,0.011551119,0.021243118
0.061251592,0.009664309,0.015474875
0.0848808,0.010146125,0.02247177
0.06814762,0.009249475,0.022042463
0.07712056,0.010101827,0.021936305
0.025786508,0.0061623035,0.034779362
0.018282384,0.0065371245,0.023450507
0.053488396,0.011254316,0.034687966
0.03668606,0.0063679125,0.029262194
0.028421905,0.006685135,0.013504784
0.025696188,0.0070191454,0.03041388
0.027062884,0.008113814,0.024541004
0.070172265,0.00843722,0.027165521
0.069098644,0.009161278,0.029986892
0.03338487,0.006130806,0.038840912
0.052362103,0.010942934,0.028170109
0.024642065,0.00605322,0.028548969
0.030624125,0.0070053022,0.02481898
0.049674608,0.008195014,0.04364809
0.021933552,0.0072070537,0.01880215
0.03089901,0.0069939713,0.018617656
0.059059046,0.011917814,0.03218138
0.02988943,0.006017823,0.014754574
0.057157647,0.009576203,0.025244877
0.036920663,0.009026117,0.026518192
0.06200135,0.007895159,0.027752921
0.03280188,0.008594014,0.01828121
0.028147105,0.00787792,0.023747489
0.051182605,0.0097310785,0.019767439
0.034108356,0.006245088,0.03051928
0.035558064,0.0073512485,0.022744417
0.04858034,0.0085809445,0.020133723
